{eBuildingType::commonAgora, 12, 3, 3},
{eBuildingType::hospital, 8, 2},
{eBuildingType::roadblock, 11, 0},
{eBuildingType::college, 13, 1},
{eBuildingType::roadblock, 11, 1},
{eBuildingType::doricColumn, 0, 2},
{eBuildingType::gazebo, 1, 3},
{eBuildingType::maintenanceOffice, 3, 3},
{eBuildingType::fountain, 5, 3},
{eBuildingType::roadblock, 11, 2},
{eBuildingType::gymnasium, 21, 3},
{eBuildingType::doricColumn, 0, 3},
{eBuildingType::roadblock, 11, 3},
{eBuildingType::fleeceVendor, 12, 4},
{eBuildingType::foodVendor, 14, 4},
{eBuildingType::oilVendor, 16, 4},
{eBuildingType::taxOffice, 18, 4},
{eBuildingType::doricColumn, 0, 4},
{eBuildingType::commonHouse, 1, 5},
{eBuildingType::avenue, 3, 4},
{eBuildingType::avenue, 4, 4},
{eBuildingType::avenue, 5, 4},
{eBuildingType::avenue, 6, 4},
{eBuildingType::avenue, 7, 4},
{eBuildingType::avenue, 8, 4},
{eBuildingType::avenue, 9, 4},
{eBuildingType::avenue, 10, 4},
{eBuildingType::roadblock, 11, 4},
{eBuildingType::doricColumn, 0, 5},
{eBuildingType::road, 3, 5},
{eBuildingType::road, 4, 5},
{eBuildingType::road, 5, 5},
{eBuildingType::road, 6, 5},
{eBuildingType::road, 7, 5},
{eBuildingType::road, 8, 5},
{eBuildingType::road, 9, 5},
{eBuildingType::road, 10, 5},
{eBuildingType::road, 11, 5},
{eBuildingType::road, 12, 5},
{eBuildingType::road, 13, 5},
{eBuildingType::road, 14, 5},
{eBuildingType::road, 15, 5},
{eBuildingType::road, 16, 5},
{eBuildingType::road, 17, 5},
{eBuildingType::road, 18, 5},
{eBuildingType::road, 19, 5},
{eBuildingType::road, 20, 5},
{eBuildingType::avenue, 21, 5},
{eBuildingType::commonHouse, 22, 6},
{eBuildingType::doricColumn, 0, 6},
{eBuildingType::commonHouse, 1, 7},
{eBuildingType::road, 3, 6},
{eBuildingType::avenue, 4, 6},
{eBuildingType::theater, 7, 8},
{eBuildingType::podium, 10, 7},
{eBuildingType::commonHouse, 12, 7},
{eBuildingType::commonHouse, 14, 7},
{eBuildingType::commonHouse, 16, 7},
{eBuildingType::commonHouse, 18, 7},
{eBuildingType::road, 20, 6},
{eBuildingType::avenue, 21, 6},
{eBuildingType::doricColumn, 0, 7},
{eBuildingType::road, 3, 7},
{eBuildingType::avenue, 4, 7},
{eBuildingType::road, 20, 7},
{eBuildingType::avenue, 21, 7},
{eBuildingType::commonHouse, 22, 8},
{eBuildingType::doricColumn, 0, 8},
{eBuildingType::commonHouse, 1, 9},
{eBuildingType::road, 3, 8},
{eBuildingType::avenue, 4, 8},
{eBuildingType::commemorative, 11, 9},
{eBuildingType::park, 13, 8},
{eBuildingType::park, 14, 8},
{eBuildingType::park, 15, 8},
{eBuildingType::park, 13, 9},
{eBuildingType::park, 14, 9},
{eBuildingType::park, 15, 9},
{eBuildingType::park, 13, 10},
{eBuildingType::park, 14, 10},
{eBuildingType::park, 15, 10},
{eBuildingType::doricColumn, 16, 8},
{eBuildingType::doricColumn, 17, 8},
{eBuildingType::commonHouse, 18, 9},
{eBuildingType::road, 20, 8},
{eBuildingType::avenue, 21, 8},
{eBuildingType::doricColumn, 0, 9},
{eBuildingType::road, 3, 9},
{eBuildingType::avenue, 4, 9},
{eBuildingType::doricColumn, 16, 9},
{eBuildingType::doricColumn, 17, 9},
{eBuildingType::road, 20, 9},
{eBuildingType::avenue, 21, 9},
{eBuildingType::commonHouse, 22, 10},
{eBuildingType::doricColumn, 0, 10},
{eBuildingType::commonHouse, 1, 11},
{eBuildingType::road, 3, 10},
{eBuildingType::avenue, 4, 10},
{eBuildingType::doricColumn, 16, 10},
{eBuildingType::doricColumn, 17, 10},
{eBuildingType::doricColumn, 18, 10},
{eBuildingType::doricColumn, 19, 10},
{eBuildingType::road, 20, 10},
{eBuildingType::avenue, 21, 10},
{eBuildingType::doricColumn, 0, 11},
{eBuildingType::road, 3, 11},
{eBuildingType::avenue, 4, 11},
{eBuildingType::commonHouse, 5, 12},
{eBuildingType::commonHouse, 7, 12},
{eBuildingType::commonHouse, 9, 12},
{eBuildingType::commonHouse, 11, 12},
{eBuildingType::commonHouse, 13, 12},
{eBuildingType::commonHouse, 15, 12},
{eBuildingType::commonHouse, 17, 12},
{eBuildingType::doricColumn, 19, 11},
{eBuildingType::road, 20, 11},
{eBuildingType::avenue, 21, 11},
{eBuildingType::commonHouse, 22, 12},
{eBuildingType::doricColumn, 0, 12},
{eBuildingType::commonHouse, 1, 13},
{eBuildingType::road, 3, 12},
{eBuildingType::avenue, 4, 12},
{eBuildingType::doricColumn, 19, 12},
{eBuildingType::road, 20, 12},
