{eBuildingType::commonAgora, 23, 5, 0},
{eBuildingType::hospital, 23, 2},
{eBuildingType::park, 2, 1},
{eBuildingType::park, 3, 1},
{eBuildingType::park, 2, 2},
{eBuildingType::park, 3, 2},
{eBuildingType::commonHouse, 4, 2},
{eBuildingType::commonHouse, 6, 2},
{eBuildingType::commonHouse, 8, 2},
{eBuildingType::commonHouse, 10, 2},
{eBuildingType::commonHouse, 12, 2},
{eBuildingType::commonHouse, 14, 2},
{eBuildingType::commonHouse, 16, 2},
{eBuildingType::commonHouse, 18, 2},
{eBuildingType::fountain, 20, 2},
{eBuildingType::park, 2, 3},
{eBuildingType::commonHouse, 3, 4},
{eBuildingType::avenue, 5, 3},
{eBuildingType::avenue, 6, 3},
{eBuildingType::avenue, 7, 3},
{eBuildingType::avenue, 8, 3},
{eBuildingType::avenue, 9, 3},
{eBuildingType::avenue, 10, 3},
{eBuildingType::avenue, 11, 3},
{eBuildingType::avenue, 12, 3},
{eBuildingType::avenue, 13, 3},
{eBuildingType::avenue, 14, 3},
{eBuildingType::avenue, 15, 3},
{eBuildingType::avenue, 16, 3},
{eBuildingType::avenue, 17, 3},
{eBuildingType::avenue, 18, 3},
{eBuildingType::avenue, 19, 3},
{eBuildingType::avenue, 20, 3},
{eBuildingType::avenue, 21, 3},
{eBuildingType::park, 2, 4},
{eBuildingType::road, 5, 4},
{eBuildingType::road, 6, 4},
{eBuildingType::road, 7, 4},
{eBuildingType::road, 8, 4},
{eBuildingType::road, 9, 4},
{eBuildingType::road, 10, 4},
{eBuildingType::road, 11, 4},
{eBuildingType::road, 12, 4},
{eBuildingType::road, 13, 4},
{eBuildingType::road, 14, 4},
{eBuildingType::road, 15, 4},
{eBuildingType::road, 16, 4},
{eBuildingType::road, 17, 4},
{eBuildingType::road, 18, 4},
{eBuildingType::road, 19, 4},
{eBuildingType::road, 20, 4},
{eBuildingType::road, 21, 4},
{eBuildingType::road, 22, 4},
{eBuildingType::road, 23, 4},
{eBuildingType::roadblock, 24, 4},
{eBuildingType::roadblock, 25, 4},
{eBuildingType::park, 2, 5},
{eBuildingType::commonHouse, 3, 6},
{eBuildingType::road, 5, 5},
{eBuildingType::avenue, 6, 5},
{eBuildingType::commonHouse, 7, 6},
{eBuildingType::commonHouse, 9, 6},
{eBuildingType::commonHouse, 11, 6},
{eBuildingType::commonHouse, 13, 6},
{eBuildingType::commonHouse, 15, 6},
{eBuildingType::commonHouse, 17, 6},
{eBuildingType::commonHouse, 19, 6},
{eBuildingType::maintenanceOffice, 21, 6},
{eBuildingType::road, 23, 5},
{eBuildingType::foodVendor, 24, 6},
{eBuildingType::park, 2, 6},
{eBuildingType::road, 5, 6},
{eBuildingType::avenue, 6, 6},
{eBuildingType::road, 23, 6},
{eBuildingType::park, 2, 7},
{eBuildingType::commonHouse, 3, 8},
{eBuildingType::road, 5, 7},
{eBuildingType::avenue, 6, 7},
{eBuildingType::bench, 7, 7},
{eBuildingType::bench, 8, 7},
{eBuildingType::bench, 9, 7},
{eBuildingType::bench, 10, 7},
{eBuildingType::bench, 11, 7},
{eBuildingType::bench, 12, 7},
{eBuildingType::bench, 13, 7},
{eBuildingType::bench, 14, 7},
{eBuildingType::bench, 15, 7},
{eBuildingType::bench, 16, 7},
{eBuildingType::bench, 17, 7},
{eBuildingType::bench, 18, 7},
{eBuildingType::bench, 19, 7},
{eBuildingType::bench, 20, 7},
{eBuildingType::bench, 21, 7},
{eBuildingType::bench, 22, 7},
{eBuildingType::road, 23, 7},
{eBuildingType::fleeceVendor, 24, 8},
{eBuildingType::park, 2, 8},
{eBuildingType::road, 5, 8},
{eBuildingType::avenue, 6, 8},
{eBuildingType::commonHouse, 7, 9},
{eBuildingType::commonHouse, 9, 9},
{eBuildingType::commonHouse, 11, 9},
{eBuildingType::commonHouse, 13, 9},
{eBuildingType::commonHouse, 15, 9},
{eBuildingType::commonHouse, 17, 9},
{eBuildingType::commonHouse, 19, 9},
{eBuildingType::taxOffice, 21, 9},
{eBuildingType::road, 23, 8},
{eBuildingType::park, 2, 9},
{eBuildingType::commonHouse, 3, 10},
{eBuildingType::road, 5, 9},
{eBuildingType::avenue, 6, 9},
{eBuildingType::road, 23, 9},
{eBuildingType::oilVendor, 24, 10},
{eBuildingType::park, 2, 10},
{eBuildingType::road, 5, 10},
{eBuildingType::road, 6, 10},
{eBuildingType::road, 7, 10},
{eBuildingType::road, 8, 10},
{eBuildingType::road, 9, 10},
{eBuildingType::road, 10, 10},
{eBuildingType::road, 11, 10},
{eBuildingType::road, 12, 10},
{eBuildingType::road, 13, 10},
{eBuildingType::road, 14, 10},
{eBuildingType::road, 15, 10},
{eBuildingType::road, 16, 10},
{eBuildingType::road, 17, 10},
{eBuildingType::road, 18, 10},
{eBuildingType::road, 19, 10},
{eBuildingType::road, 20, 10},
{eBuildingType::road, 21, 10},
{eBuildingType::road, 22, 10},
{eBuildingType::road, 23, 10},
{eBuildingType::theater, 2, 13},
{eBuildingType::avenue, 5, 11},
{eBuildingType::avenue, 6, 11},
{eBuildingType::avenue, 7, 11},
{eBuildingType::avenue, 8, 11},
{eBuildingType::avenue, 9, 11},
{eBuildingType::avenue, 10, 11},
{eBuildingType::avenue, 11, 11},
{eBuildingType::avenue, 12, 11},
{eBuildingType::avenue, 13, 11},
{eBuildingType::avenue, 14, 11},
{eBuildingType::avenue, 15, 11},
{eBuildingType::avenue, 16, 11},
{eBuildingType::avenue, 17, 11},
{eBuildingType::avenue, 18, 11},
{eBuildingType::avenue, 19, 11},
{eBuildingType::avenue, 20, 11},
{eBuildingType::avenue, 21, 11},
{eBuildingType::avenue, 22, 11},
{eBuildingType::gymnasium, 24, 12},
{eBuildingType::commonHouse, 5, 13},
{eBuildingType::commonHouse, 7, 13},
{eBuildingType::commonHouse, 9, 13},
{eBuildingType::commonHouse, 11, 13},
{eBuildingType::commonHouse, 13, 13},
{eBuildingType::commonHouse, 15, 13},
{eBuildingType::commonHouse, 17, 13},
{eBuildingType::commonHouse, 19, 13},
{eBuildingType::podium, 21, 13}
