{eBuildingType::commonAgora, 21, 6, 0},
{eBuildingType::gymnasium, 20, 1},
{eBuildingType::commonHouse, 3, 2},
{eBuildingType::commonHouse, 5, 2},
{eBuildingType::commonHouse, 7, 2},
{eBuildingType::commonHouse, 9, 2},
{eBuildingType::commonHouse, 11, 2},
{eBuildingType::commonHouse, 13, 2},
{eBuildingType::commonHouse, 15, 2},
{eBuildingType::commonHouse, 17, 2},
{eBuildingType::park, 0, 3},
{eBuildingType::park, 1, 3},
{eBuildingType::park, 0, 4},
{eBuildingType::park, 1, 4},
{eBuildingType::podium, 2, 4},
{eBuildingType::avenue, 4, 3},
{eBuildingType::avenue, 5, 3},
{eBuildingType::avenue, 6, 3},
{eBuildingType::avenue, 7, 3},
{eBuildingType::avenue, 8, 3},
{eBuildingType::avenue, 9, 3},
{eBuildingType::avenue, 10, 3},
{eBuildingType::avenue, 11, 3},
{eBuildingType::avenue, 12, 3},
{eBuildingType::avenue, 13, 3},
{eBuildingType::avenue, 14, 3},
{eBuildingType::avenue, 15, 3},
{eBuildingType::avenue, 16, 3},
{eBuildingType::avenue, 17, 3},
{eBuildingType::avenue, 18, 3},
{eBuildingType::avenue, 19, 3},
{eBuildingType::taxOffice, 20, 4},
{eBuildingType::park, 22, 3},
{eBuildingType::park, 23, 3},
{eBuildingType::park, 22, 4},
{eBuildingType::park, 23, 4},
{eBuildingType::road, 4, 4},
{eBuildingType::road, 5, 4},
{eBuildingType::road, 6, 4},
{eBuildingType::road, 7, 4},
{eBuildingType::road, 8, 4},
{eBuildingType::road, 9, 4},
{eBuildingType::road, 10, 4},
{eBuildingType::road, 11, 4},
{eBuildingType::road, 12, 4},
{eBuildingType::road, 13, 4},
{eBuildingType::road, 14, 4},
{eBuildingType::road, 15, 4},
{eBuildingType::road, 16, 4},
{eBuildingType::road, 17, 4},
{eBuildingType::road, 18, 4},
{eBuildingType::road, 19, 4},
{eBuildingType::park, 0, 5},
{eBuildingType::commonHouse, 1, 6},
{eBuildingType::avenue, 3, 5},
{eBuildingType::road, 4, 5},
{eBuildingType::commonHouse, 5, 6},
{eBuildingType::commonHouse, 7, 6},
{eBuildingType::commonHouse, 9, 6},
{eBuildingType::commonHouse, 11, 6},
{eBuildingType::commonHouse, 13, 6},
{eBuildingType::commonHouse, 15, 6},
{eBuildingType::commonHouse, 17, 6},
{eBuildingType::road, 19, 5},
{eBuildingType::road, 20, 5},
{eBuildingType::road, 21, 5},
{eBuildingType::roadblock, 22, 5},
{eBuildingType::road, 23, 5},
{eBuildingType::park, 0, 6},
{eBuildingType::avenue, 3, 6},
{eBuildingType::road, 4, 6},
{eBuildingType::commonHouse, 19, 7},
{eBuildingType::road, 21, 6},
{eBuildingType::fleeceVendor, 22, 7},
{eBuildingType::park, 0, 7},
{eBuildingType::commonHouse, 1, 8},
{eBuildingType::avenue, 3, 7},
{eBuildingType::road, 4, 7},
{eBuildingType::hospital, 6, 9},
{eBuildingType::fishPond, 10, 9},
{eBuildingType::fishPond, 14, 9},
{eBuildingType::commonHouse, 17, 8},
{eBuildingType::road, 21, 7},
{eBuildingType::park, 0, 8},
{eBuildingType::avenue, 3, 8},
{eBuildingType::road, 4, 8},
{eBuildingType::road, 19, 8},
{eBuildingType::park, 20, 8},
{eBuildingType::road, 21, 8},
{eBuildingType::foodVendor, 22, 9},
{eBuildingType::park, 0, 9},
{eBuildingType::commonHouse, 1, 10},
{eBuildingType::avenue, 3, 9},
{eBuildingType::road, 4, 9},
{eBuildingType::commonHouse, 17, 10},
{eBuildingType::road, 19, 9},
{eBuildingType::park, 20, 9},
