{eBuildingType::commonAgora, 16, 12, 0},
{eBuildingType::gymnasium, 2, 1},
{eBuildingType::road, 15, 0},
{eBuildingType::theater, 20, 2},
{eBuildingType::taxOffice, 4, 2},
{eBuildingType::doricColumn, 6, 1},
{eBuildingType::commonHouse, 7, 2},
{eBuildingType::commonHouse, 9, 2},
{eBuildingType::commonHouse, 11, 2},
{eBuildingType::commonHouse, 13, 2},
{eBuildingType::road, 15, 1},
{eBuildingType::doricColumn, 6, 2},
{eBuildingType::roadblock, 15, 2},
{eBuildingType::maintenanceOffice, 16, 3},
{eBuildingType::fountain, 1, 4},
{eBuildingType::avenue, 3, 3},
{eBuildingType::avenue, 4, 3},
{eBuildingType::avenue, 5, 3},
{eBuildingType::avenue, 6, 3},
{eBuildingType::avenue, 7, 3},
{eBuildingType::avenue, 8, 3},
{eBuildingType::avenue, 9, 3},
{eBuildingType::avenue, 10, 3},
{eBuildingType::avenue, 11, 3},
{eBuildingType::avenue, 12, 3},
{eBuildingType::avenue, 13, 3},
{eBuildingType::avenue, 14, 3},
{eBuildingType::roadblock, 15, 3},
{eBuildingType::road, 3, 4},
{eBuildingType::road, 4, 4},
{eBuildingType::road, 5, 4},
{eBuildingType::road, 6, 4},
{eBuildingType::road, 7, 4},
{eBuildingType::road, 8, 4},
{eBuildingType::road, 9, 4},
{eBuildingType::road, 10, 4},
{eBuildingType::road, 11, 4},
{eBuildingType::road, 12, 4},
{eBuildingType::road, 13, 4},
{eBuildingType::road, 14, 4},
{eBuildingType::road, 15, 4},
{eBuildingType::road, 16, 4},
{eBuildingType::avenue, 17, 4},
{eBuildingType::road, 0, 5},
{eBuildingType::roadblock, 1, 5},
{eBuildingType::roadblock, 2, 5},
{eBuildingType::road, 3, 5},
{eBuildingType::commonHouse, 4, 6},
{eBuildingType::commonHouse, 6, 6},
{eBuildingType::commonHouse, 8, 6},
{eBuildingType::commonHouse, 10, 6},
{eBuildingType::commonHouse, 12, 6},
{eBuildingType::commonHouse, 14, 6},
{eBuildingType::road, 16, 5},
{eBuildingType::avenue, 17, 5},
{eBuildingType::commonHouse, 18, 6},
{eBuildingType::doricColumn, 0, 6},
{eBuildingType::doricColumn, 1, 6},
{eBuildingType::doricColumn, 2, 6},
{eBuildingType::road, 3, 6},
{eBuildingType::road, 16, 6},
{eBuildingType::avenue, 17, 6},
{eBuildingType::commonHouse, 1, 8},
{eBuildingType::road, 3, 7},
{eBuildingType::commonHouse, 4, 8},
{eBuildingType::park, 6, 7},
{eBuildingType::park, 7, 7},
{eBuildingType::park, 6, 8},
{eBuildingType::park, 7, 8},
{eBuildingType::park, 8, 7},
{eBuildingType::park, 9, 7},
{eBuildingType::park, 10, 7},
{eBuildingType::park, 11, 7},
{eBuildingType::park, 12, 7},
{eBuildingType::park, 13, 7},
{eBuildingType::park, 12, 8},
{eBuildingType::park, 13, 8},
{eBuildingType::commonHouse, 14, 8},
{eBuildingType::road, 16, 7},
{eBuildingType::roadblock, 17, 7},
{eBuildingType::roadblock, 18, 7},
{eBuildingType::roadblock, 19, 7},
{eBuildingType::road, 20, 7},
{eBuildingType::road, 21, 7},
{eBuildingType::road, 3, 8},
{eBuildingType::road, 16, 8},
{eBuildingType::avenue, 17, 8},
{eBuildingType::commonHouse, 18, 9},
{eBuildingType::commonHouse, 1, 10},
{eBuildingType::road, 3, 9},
{eBuildingType::commonHouse, 4, 10},
{eBuildingType::park, 6, 9},
{eBuildingType::park, 13, 9},
{eBuildingType::commonHouse, 14, 10},
{eBuildingType::road, 16, 9},
{eBuildingType::avenue, 17, 9},
{eBuildingType::road, 3, 10},
{eBuildingType::park, 6, 10},
{eBuildingType::commemorative, 10, 11},
{eBuildingType::park, 13, 10},
{eBuildingType::road, 16, 10},
{eBuildingType::avenue, 17, 10},
{eBuildingType::commonHouse, 18, 11},
{eBuildingType::commonHouse, 1, 12},
{eBuildingType::road, 3, 11},
{eBuildingType::commonHouse, 4, 12},
{eBuildingType::park, 6, 11},
{eBuildingType::park, 13, 11},
{eBuildingType::commonHouse, 14, 12},
{eBuildingType::road, 16, 11},
{eBuildingType::avenue, 17, 11},
{eBuildingType::road, 3, 12},
{eBuildingType::park, 6, 12},
{eBuildingType::park, 13, 12},
{eBuildingType::road, 16, 12},
{eBuildingType::foodVendor, 17, 13},
{eBuildingType::commonHouse, 1, 14},
{eBuildingType::road, 3, 13},
{eBuildingType::commonHouse, 4, 14},
{eBuildingType::park, 6, 13},
{eBuildingType::park, 7, 13},
{eBuildingType::park, 6, 14},
{eBuildingType::park, 7, 14},
{eBuildingType::park, 12, 13},
{eBuildingType::park, 13, 13},
{eBuildingType::park, 12, 14},
{eBuildingType::park, 13, 14},
{eBuildingType::commonHouse, 14, 14},
{eBuildingType::road, 16, 13},
{eBuildingType::road, 3, 14},
{eBuildingType::park, 8, 14},
{eBuildingType::park, 9, 14},
{eBuildingType::park, 10, 14},
{eBuildingType::park, 11, 14},
{eBuildingType::road, 16, 14},
{eBuildingType::fleeceVendor, 17, 15},
{eBuildingType::commonHouse, 1, 16},
{eBuildingType::road, 3, 15},
{eBuildingType::commonHouse, 4, 16},
{eBuildingType::commonHouse, 6, 16},
{eBuildingType::commonHouse, 8, 16},
{eBuildingType::commonHouse, 10, 16},
{eBuildingType::commonHouse, 12, 16},
{eBuildingType::commonHouse, 14, 16},
{eBuildingType::road, 16, 15},
{eBuildingType::road, 3, 16},
{eBuildingType::road, 16, 16},
{eBuildingType::oilVendor, 17, 17},
{eBuildingType::podium, 1, 18},
{eBuildingType::road, 3, 17},
{eBuildingType::road, 4, 17},
{eBuildingType::road, 5, 17},
{eBuildingType::road, 6, 17},
{eBuildingType::road, 7, 17},
{eBuildingType::road, 8, 17},
{eBuildingType::road, 9, 17},
{eBuildingType::road, 10, 17},
{eBuildingType::road, 11, 17},
{eBuildingType::road, 12, 17},
{eBuildingType::road, 13, 17},
{eBuildingType::road, 14, 17},
{eBuildingType::road, 15, 17},
{eBuildingType::road, 16, 17},
{eBuildingType::avenue, 3, 18},
{eBuildingType::avenue, 4, 18},
{eBuildingType::avenue, 5, 18},
{eBuildingType::avenue, 6, 18},
{eBuildingType::avenue, 7, 18},
{eBuildingType::avenue, 8, 18},
{eBuildingType::avenue, 9, 18},
{eBuildingType::avenue, 10, 18},
{eBuildingType::avenue, 11, 18},
{eBuildingType::avenue, 12, 18},
{eBuildingType::avenue, 13, 18},
{eBuildingType::avenue, 14, 18},
{eBuildingType::roadblock, 15, 18},
{eBuildingType::hospital, 17, 20},
{eBuildingType::hedgeMaze, 1, 20},
{eBuildingType::commonHouse, 3, 20},
{eBuildingType::commonHouse, 5, 20},
{eBuildingType::commonHouse, 7, 20},
{eBuildingType::commonHouse, 9, 20},
{eBuildingType::commonHouse, 11, 20},
{eBuildingType::commonHouse, 13, 20},
{eBuildingType::roadblock, 15, 19},
{eBuildingType::roadblock, 15, 20},
{eBuildingType::roadblock, 15, 21}
