{
    {eBuildingType::road, 0, 2},
    {eBuildingType::road, 1, 2},
    {eBuildingType::road, 2, 2},
    {eBuildingType::road, 3, 2},
    {eBuildingType::road, 4, 2},
    {eBuildingType::road, 5, 2},
    {eBuildingType::road, 6, 2},
    {eBuildingType::road, 7, 2},
    {eBuildingType::road, 8, 2},
    {eBuildingType::road, 9, 2},
    {eBuildingType::road, 10, 2},
    {eBuildingType::road, 11, 2},
    {eBuildingType::road, 12, 2},
    {eBuildingType::road, 13, 2},
    {eBuildingType::road, 14, 2},
    {eBuildingType::road, 15, 2},
    {eBuildingType::road, 16, 2},
    {eBuildingType::road, 17, 2},
    {eBuildingType::road, 18, 2},
    {eBuildingType::wheatFarm, 4, 0},
    {eBuildingType::wheatFarm, 7, 0},
    {eBuildingType::wheatFarm, 10, 0},
    {eBuildingType::wheatFarm, 13, 0},
    {eBuildingType::granary, 16, 0},
    {eBuildingType::maintenanceOffice, 1, 4},
    {eBuildingType::wheatFarm, 4, 4},
    {eBuildingType::wheatFarm, 7, 4},
    {eBuildingType::wheatFarm, 10, 4},
    {eBuildingType::wheatFarm, 13, 4},
}
