; Zeus eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"because [leader_name] is really pleased with you"
PHRASE_benevolent				"because [leader_name] is pleased with you"
PHRASE_hostile					"because [leader_name] is upset with you"
PHRASE_really_hostile			"because [leader_name] is really angry"
		
 	;Opportunity
PHRASE_weakness					"because [leader_name] thinks you are weak"
PHRASE_out_of_money 			""
 
 	;Response
PHRASE_request_response			""
 
 	;Combat results/results of player actions
PHRASE_player_attacked			""

;&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&  ***********     TEXT FOR EVENTS *******   &&&&&&&&&&&&&&&&&&&&&&&&&&


;***************************************************REQUESTS


; TONES INDICATED ARE:
; _S = Standard
; _D = Demand
; _P = Plea
; _R = Requisition

;**************************************FOOD, GOODS & MONEY REQUESTS**********************************

;******Famine Relief*********************************************************
PHRASE_famine_relief_relief_title_S 					"[city_name] suffers famine"
PHRASE_famine_relief_relief_oracle_prediction_S		"Greetings, [player_name]. The gods have spoken to me through the oracle, and I foresee the following scene: a famine will strike your ally, [city_name], and its people will wail with hunger in the streets. Their leader, [leader_name], heart heavy with sorrow, will turn to you for help. If you send them [amount] food before this happens, you will avert this catastrophe, and [leader_name] will sing your praises to your other allies."
PHRASE_famine_relief_relief_initial_announcement_S		"My most honorable friend [player_name], I, [leader_name] of [city_name], desperately need your help. A famine has struck my city, and my people are miserable. I can't produce the food to feed them myself, and I fear what will happen if my followers go too much longer without eating. Send [amount] food to me in [time_allotted] months before this tragedy worsens!"
PHRASE_famine_relief_relief_reminder_S 				"Please, [player_name], I, [leader_name] of [city_name] am asking you as a peer to help me. My people desperately need the [amount] food that I asked you for, and time is running short. Only the gods know what will happen if you don't send the food within six months."
PHRASE_famine_relief_relief_overdue_S 				"I can't believe you ignored my request, [player_name]! I managed to get through the famine without your help, and it is only through the blessings of Tyche that I managed to avoid being ostracized by my own people. All the residents here at [city_name] are outraged, too. Maybe if you send [amount] food soon to help us replenish our stocks, I might be able to overlook this slight . . . this time."
PHRASE_famine_relief_relief_warning_S 				"[player_name]! If you don't send my city, [city_name], the [amount] food within six months, then don't even bother. And you call yourself my ally!"
PHRASE_famine_relief_relief_early_reason_S	  			"because you helped me to avert a famine by sending [amount] food early,"
PHRASE_famine_relief_relief_comply_reason_S  			"because you sent my people the food that they needed,"
PHRASE_famine_relief_relief_too_late_reason_S 	 		"because you sent the [amount] food my people needed too late,"
